Id,Type,No_Spaces,Installed,Ref,Remarks,Owned_by,Serves,Finish,Image,Public,Easting,Northing,Observed,Location
0,"Sheffield extra",4,01/02/2008,30,,CEC,,Galvanised,,Y,324858,673084,,"55.94491,-3.20468"
0,"Sheffield extra",4,01/02/2008,31,,CEC,,Galvanised,,Y,325548,672319,,"55.93814,-3.19342"
0,"Sheffield extra",10,01/02/2008,32,,CEC,,Galvanised,,Y,320873,672853,,"55.94219,-3.2684"
0,"Sheffield extra",8,01/02/2008,33,,CEC,,Galvanised,,Y,325916,673611,,"55.94981,-3.1879"
0,"Sheffield extra",6,01/02/2008,34,,CEC,,Galvanised,,Y,325829,674023,,"55.95349,-3.1894"
0,"Sheffield extra",4,01/02/2008,35,,CEC,,Galvanised,,Y,326514,676640,,"55.9771,-3.17915"
0,Bespoke,8,18991230,101,"Check number",,"Waverley shopping centre","Stainless steel",,Y,325756,673936,,"55.9527,-3.19055"
0,Sheffield,8,18991230,102,,CEC,"National Library","Unfinished steel",,Y,325667,673453,,"55.94835,-3.19183"
0,Sheffield,4,18991230,103,,,,,,Y,326058,673211,,"55.94623,-3.18551"
0,Sheffield,8,18991230,104,,,,,,Y,326008,673351,,"55.94748,-3.18635"
0,Sheffield,8,18991230,105,,,,Black,,Y,325980,673412,,"55.94803,-3.18682"
0,Sheffield,6,18991230,106,,,,"Stainless steel",,Y,325717,673333,,"55.94728,-3.191"
0,Sheffield,10,18991230,107,,,,"Stainless steel",,Y,325748,673325,,"55.94721,-3.1905"
0,"Sheffield extra",4,18991230,108,,CEC,,,,Y,326393,672508,,"55.93997,-3.17996"
0,"Sheffield extra",2,18991230,109,,CEC,,,,Y,326391,672522,,"55.94009,-3.17999"
0,Sheffield,10,18991230,110,,,,Black,,Y,325831,673364,,"55.94757,-3.18919"
0,Sheffield,4,18991230,111,,,,"Stainless steel",,Y,325847,673622,,"55.94989,-3.18901"
0,Sheffield,10,18991230,112,"Check location and number",,"National Portrait Gallery",,,Y,325402,673861,,"55.95197,-3.19619"
0,Bespoke,36,18991230,113,,,,,,Y,326032,674364,,"55.95659,-3.18625"
0,Sheffield,14,18991230,114,,,,,,Y,325873,673212,,"55.94621,-3.18848"
0,"Sheffield extra",10,18991230,115,"Security issues",CEC,,,,Y,326177,673035,,"55.94467,-3.18356"
